,time,A_bid,A_ask,B_bid,B_ask
79,1611448478.8924446,87.30000000000001,87.9,87.4,87.80000000000001
80,1611448478.942623,87.30000000000001,87.9,87.4,87.80000000000001
81,1611448478.9928012,87.30000000000001,87.9,87.4,87.80000000000001
82,1611448479.0429804,87.30000000000001,87.9,87.4,87.80000000000001
83,1611448479.0931587,87.30000000000001,87.9,87.4,87.80000000000001
84,1611448479.143337,87.30000000000001,87.9,87.4,87.80000000000001
85,1611448479.2800028,87.4,88.0,87.4,87.80000000000001
86,1611448479.3301823,87.4,88.0,87.4,87.80000000000001
87,1611448479.3803449,87.4,88.0,87.4,87.80000000000001
88,1611448479.4305959,87.4,88.0,87.4,87.80000000000001
89,1611448479.48084,87.4,88.0,87.4,87.80000000000001
90,1611448479.5310302,87.4,88.0,87.4,87.80000000000001
91,1611448479.5812085,87.4,88.0,87.4,87.80000000000001
92,1611448479.6313877,87.4,88.0,87.4,87.80000000000001
93,1611448479.6816535,87.4,88.0,87.4,87.80000000000001
94,1611448479.7318904,87.4,88.0,87.4,87.80000000000001
95,1611448479.7820683,87.4,88.0,87.4,87.80000000000001
96,1611448479.8322768,87.4,88.0,87.4,87.80000000000001
97,1611448479.8824096,87.4,88.0,87.4,87.80000000000001
98,1611448479.9325812,87.4,88.0,87.4,87.80000000000001
99,1611448479.9827745,87.4,88.0,87.4,87.80000000000001
100,1611448480.0329533,87.4,88.0,87.4,87.80000000000001
101,1611448480.0831203,87.4,88.0,87.4,87.80000000000001
102,1611448480.133312,87.4,88.0,87.4,87.80000000000001
103,1611448480.1834686,87.4,88.0,87.4,87.80000000000001
104,1611448480.233648,87.4,88.0,87.4,87.80000000000001
105,1611448480.283892,87.4,88.0,87.4,87.80000000000001
106,1611448480.3340716,87.4,88.0,87.4,87.80000000000001
107,1611448480.3842185,87.4,88.0,87.4,87.80000000000001
108,1611448480.4344285,87.4,88.0,87.4,87.80000000000001
109,1611448480.484595,87.4,88.0,87.4,87.80000000000001
110,1611448480.534786,87.4,88.0,87.4,87.80000000000001
111,1611448480.5849702,87.4,88.0,87.4,87.80000000000001
112,1611448480.6351564,87.4,88.0,87.4,87.80000000000001
113,1611448480.7962677,87.2,87.80000000000001,87.4,87.80000000000001
114,1611448480.8464425,87.2,87.80000000000001,87.4,87.80000000000001
115,1611448480.8965995,87.2,87.80000000000001,87.4,87.80000000000001
116,1611448480.9468534,87.2,87.80000000000001,87.4,87.80000000000001
117,1611448480.9970098,87.2,87.80000000000001,87.4,87.80000000000001
118,1611448481.0471911,87.2,87.80000000000001,87.4,87.80000000000001
119,1611448481.0973728,87.2,87.80000000000001,87.4,87.80000000000001
120,1611448481.1475616,87.2,87.80000000000001,87.4,87.80000000000001
121,1611448481.1977396,87.2,87.80000000000001,87.4,87.80000000000001
122,1611448481.247898,87.2,87.80000000000001,87.30000000000001,87.80000000000001
123,1611448481.29808,87.2,87.80000000000001,87.30000000000001,87.9
124,1611448481.3482654,87.2,87.80000000000001,87.30000000000001,87.7
125,1611448481.3984387,87.2,87.80000000000001,87.30000000000001,87.7
126,1611448481.4486213,87.2,87.80000000000001,87.30000000000001,87.7
127,1611448481.4988022,87.2,87.80000000000001,87.30000000000001,87.7
128,1611448481.548986,87.2,87.80000000000001,87.30000000000001,87.7
129,1611448481.5991738,87.2,87.80000000000001,87.30000000000001,87.7
130,1611448481.6493006,87.2,87.80000000000001,87.30000000000001,87.7
131,1611448481.6994848,87.2,87.80000000000001,87.30000000000001,87.7
132,1611448481.749664,87.2,87.80000000000001,87.30000000000001,87.7
133,1611448481.7998407,87.2,87.80000000000001,87.30000000000001,87.7
134,1611448481.8500032,87.2,87.80000000000001,87.30000000000001,87.7
135,1611448481.9001744,87.2,87.80000000000001,87.30000000000001,87.7
136,1611448481.9504118,87.2,87.80000000000001,87.30000000000001,87.7
137,1611448482.0005915,87.2,87.80000000000001,87.30000000000001,87.7
138,1611448482.0507736,87.2,87.80000000000001,87.30000000000001,87.7
139,1611448482.1010234,87.2,87.80000000000001,87.30000000000001,87.7
140,1611448482.1511998,87.2,87.80000000000001,87.30000000000001,87.7
141,1611448482.2600315,87.10000000000001,87.80000000000001,87.30000000000001,87.7
142,1611448482.3102114,87.10000000000001,87.80000000000001,87.30000000000001,87.7
143,1611448482.360397,87.10000000000001,87.80000000000001,87.30000000000001,87.7
144,1611448482.41057,87.10000000000001,87.80000000000001,87.30000000000001,87.7
145,1611448482.460852,87.10000000000001,87.80000000000001,87.30000000000001,87.7
146,1611448482.5110219,87.10000000000001,87.80000000000001,87.30000000000001,87.7
147,1611448482.5612051,87.10000000000001,87.80000000000001,87.30000000000001,87.7
148,1611448482.611384,87.10000000000001,87.80000000000001,87.30000000000001,87.7
149,1611448482.6615672,87.10000000000001,87.80000000000001,87.30000000000001,87.7
150,1611448482.7117548,87.10000000000001,87.80000000000001,87.30000000000001,87.7
151,1611448482.7619326,87.10000000000001,87.80000000000001,87.30000000000001,87.7
152,1611448482.8121078,87.10000000000001,87.80000000000001,87.30000000000001,87.7
153,1611448482.862286,87.10000000000001,87.80000000000001,87.30000000000001,87.7
154,1611448482.9124637,87.10000000000001,87.80000000000001,87.30000000000001,87.7
155,1611448482.9626255,87.10000000000001,87.80000000000001,87.30000000000001,87.7
156,1611448483.0128088,87.10000000000001,87.80000000000001,87.30000000000001,87.7
157,1611448483.0629938,87.10000000000001,87.80000000000001,87.30000000000001,87.7
158,1611448483.1131756,87.10000000000001,87.80000000000001,87.30000000000001,87.7
159,1611448483.1632898,87.10000000000001,87.80000000000001,87.30000000000001,87.7
160,1611448483.2134504,87.10000000000001,87.80000000000001,87.30000000000001,87.7
161,1611448483.2636268,87.10000000000001,87.80000000000001,87.30000000000001,87.7
162,1611448483.313785,87.10000000000001,87.80000000000001,87.30000000000001,87.7
163,1611448483.3639667,87.10000000000001,87.80000000000001,87.30000000000001,87.7
164,1611448483.4143777,87.10000000000001,87.80000000000001,87.30000000000001,87.7
165,1611448483.464556,87.10000000000001,87.80000000000001,87.30000000000001,87.7
166,1611448483.5147407,87.10000000000001,87.80000000000001,87.30000000000001,87.7
167,1611448483.5649247,87.10000000000001,87.80000000000001,87.30000000000001,87.7
168,1611448483.6150842,87.10000000000001,87.80000000000001,87.30000000000001,87.7
169,1611448483.6652632,87.10000000000001,87.80000000000001,87.30000000000001,87.7
170,1611448483.7764645,87.2,87.80000000000001,87.30000000000001,87.7
171,1611448483.8266673,87.2,87.80000000000001,87.30000000000001,87.7
172,1611448483.8768559,87.2,87.80000000000001,87.30000000000001,87.7
173,1611448483.927013,87.2,87.80000000000001,87.30000000000001,87.7
174,1611448483.977173,87.2,87.80000000000001,87.30000000000001,87.7
175,1611448484.0273557,87.2,87.80000000000001,87.30000000000001,87.7
176,1611448484.077545,87.2,87.80000000000001,87.30000000000001,87.7
177,1611448484.127786,87.2,87.80000000000001,87.30000000000001,87.7
178,1611448484.1779392,87.2,87.80000000000001,87.30000000000001,87.7
179,1611448484.2281175,87.2,87.80000000000001,87.30000000000001,87.7
180,1611448484.2782524,87.2,87.80000000000001,87.30000000000001,87.7
181,1611448484.3284388,87.2,87.80000000000001,87.30000000000001,87.7
